Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based KNN,30,5,3,706,threshold,1.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",4497.851855,6.370894979,0.740068157,0.861916244,0.131527317,0.277335569,0.004886263,0.036827195,0.105476865,0.105476865,0.043482845,"{0.5: 0.0003369571018149142, 1.0: 0.00037116698953850705, 1.5: 0.0002854547480061257, 2.0: 0.0008101790534942503, 2.5: 0.0011863373997349417, 3.0: 0.006093508534268692, 3.5: 0.006289781389830591, 4.0: 0.015639053292404333, 4.5: 0.007408132513857183, 5.0: 0.009778187908130755}"
User-Based KNN,30,5,3,706,threshold,1.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",496.9221569,0.703855746,0.810424255,0.915207874,0.131042898,0.556536965,0.014977027,0.015580737,0.208829084,0.20368272,0.096305477,"{0.5: 0.00025846012416041336, 1.0: 0.000568860019270239, 1.5: 0.00031524554131262723, 2.0: 0.0014727158482778246, 2.5: 0.0016070308719573565, 3.0: 0.009604611479970927, 3.5: 0.00832157312452521, 4.0: 0.02626435088727026, 4.5: 0.012128576022355899, 5.0: 0.021850588058485405}"
Item-Based CF,30,5,3,706,threshold,2,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",75.2334381,0.106562943,0.781640083,0.962878644,0.300045955,0.440566447,0.078674557,0.04674221,0.195089707,0.194995279,0.09330107,"{0.5: 0.0004586012124617101, 1.0: 0.0009620827628958276, 1.5: 0.0003365508592227297, 2.0: 0.0032066756404487322, 2.5: 0.002379003186115217, 3.0: 0.013380369542438689, 3.5: 0.010216009404703253, 4.0: 0.025864409007638943, 4.5: 0.011569013837075884, 5.0: 0.019658837266598176}"
User-Based CF,30,5,3,706,threshold,2,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",969.0334125,1.372568573,0.72557482,0.844570085,0.220256172,0.52282164,0.008418524,0.005665722,0.172757318,0.172710104,0.079839471,"{0.5: 0.0004929400969341888, 1.0: 0.0008163814549793939, 1.5: 0.00027897758067577604, 2.0: 0.0014653845840525142, 2.5: 0.0013432819250551434, 3.0: 0.006306861875495293, 3.5: 0.008208665529120937, 4.0: 0.020604375700780275, 4.5: 0.010834672598052406, 5.0: 0.017349032758881177}"
Item-Based KNN,30,5,3,706,threshold,2,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",3980.69058,5.638371927,0.748541489,0.927313596,0.135504699,0.261364618,0.004391924,0.039660057,0.165864023,0.165864023,0.087032578,"{0.5: 0.0006078388780330607, 1.0: 0.0006564574279231077, 1.5: 0.0004349648629838299, 2.0: 0.002216036693697057, 2.5: 0.0013699344432136283, 3.0: 0.0087245287652193, 3.5: 0.009736095452612118, 4.0: 0.022524797948432648, 4.5: 0.010730337901233294, 5.0: 0.01974171748068384}"
User-Based KNN,30,5,3,706,threshold,2,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",485.5294434,0.687718758,0.911676947,1.029776668,0.133835151,0.528689354,0.012031011,0.016997167,0.275684608,0.260623229,0.134062008,"{0.5: 0.0005756211530754124, 1.0: 0.0010119811862440498, 1.5: 0.0003564888405859969, 2.0: 0.002123418256647437, 2.5: 0.002214806280846055, 3.0: 0.01154799900506457, 3.5: 0.01334155825487173, 4.0: 0.03386778466105159, 4.5: 0.01718674012878869, 5.0: 0.032134923885377246}"
Item-Based CF,30,5,3,706,threshold,2.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",76.2205634,0.107961138,0.782049693,0.963569995,0.299804037,0.440865443,0.078718726,0.04674221,0.195136922,0.195136922,0.093350645,"{0.5: 0.0004586012124617101, 1.0: 0.0009620827628958276, 1.5: 0.0003562235063741305, 2.0: 0.0032066756404487322, 2.5: 0.0023644096587738146, 3.0: 0.013364172508763436, 3.5: 0.010216009404703253, 4.0: 0.02586782072324288, 4.5: 0.011569013837075884, 5.0: 0.019658837266598176}"
User-Based CF,30,5,3,706,threshold,2.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",972.3444232,1.37725839,0.734710698,0.85552405,0.222064286,0.526406595,0.00834737,0.004249292,0.170160529,0.170160529,0.078973875,"{0.5: 0.0006713086687202516, 1.0: 0.0008554443798572457, 1.5: 0.0002684026921935909, 2.0: 0.0015879912708907408, 2.5: 0.0013511557980033049, 3.0: 0.006470641508265768, 3.5: 0.007871543605860738, 4.0: 0.019728992885537505, 4.5: 0.01087348671033241, 5.0: 0.01690379728606205}"
Item-Based KNN,30,5,3,706,threshold,2.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",3973.931028,5.628797491,0.749460536,0.928349331,0.135319718,0.26139345,0.004395869,0.039660057,0.165864023,0.165864023,0.087019987,"{0.5: 0.0006078388780330607, 1.0: 0.0006564574279231077, 1.5: 0.0004349648629838299, 2.0: 0.002216036693697057, 2.5: 0.0013699344432136283, 3.0: 0.0087245287652193, 3.5: 0.009736095452612118, 4.0: 0.022524797948432648, 4.5: 0.010730337901233294, 5.0: 0.01974171748068384}"
User-Based KNN,30,5,3,706,threshold,2.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",486.4875283,0.689075819,0.92213214,1.039637467,0.133517271,0.52779941,0.012164928,0.015580737,0.274740321,0.256893296,0.133773214,"{0.5: 0.0006057579742435156, 1.0: 0.0010169153713147534, 1.5: 0.00035987933758737306, 2.0: 0.0020928165863701165, 2.5: 0.002162214001859785, 3.0: 0.011539720997037541, 3.5: 0.013362509347760277, 4.0: 0.03364324828072972, 4.5: 0.01723846436530625, 5.0: 0.03200521066167258}"
Item-Based CF,30,5,3,706,threshold,3,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",74.4249633,0.105417795,0.797704121,0.98100089,0.295996351,0.445295238,0.079012469,0.04674221,0.195561851,0.195561851,0.093604029,"{0.5: 0.0003882168526533653, 1.0: 0.0010384725262597792, 1.5: 0.0003758961535255312, 2.0: 0.0030332242362417963, 2.5: 0.002350605092752183, 3.0: 0.012894936968879672, 3.5: 0.010294571959013253, 4.0: 0.026564858563002235, 4.5: 0.011634561423116507, 5.0: 0.019819353635435764}"
User-Based CF,30,5,3,705,threshold,3,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",968.207102,1.373343407,0.776758218,0.898381873,0.228570927,0.530235451,0.008193181,0.007092199,0.162884161,0.162884161,0.075706068,"{0.5: 0.000670174499446465, 1.0: 0.0008696412376976048, 1.5: 0.000312299354880128, 2.0: 0.0018063289370778889, 2.5: 0.0014903421127744117, 3.0: 0.006651488114232882, 3.5: 0.007774382720697872, 4.0: 0.018885426821880495, 4.5: 0.009961201843392803, 5.0: 0.015332272987026756}"
Item-Based KNN,30,5,3,706,threshold,3,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",3857.93911,5.464502988,0.765001836,0.945791723,0.133104269,0.260779388,0.004411718,0.039660057,0.166147309,0.166147309,0.087242682,"{0.5: 0.0006078388780330607, 1.0: 0.0006564574279231077, 1.5: 0.0004349648629838299, 2.0: 0.0021981293433499835, 2.5: 0.0013966595487777953, 3.0: 0.008694667697821398, 3.5: 0.009748928856686835, 4.0: 0.022534550797176315, 4.5: 0.010730337901233294, 5.0: 0.01984276223262011}"
User-Based KNN,30,5,3,706,threshold,3,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",486.1811563,0.688641864,1.00097681,1.115749066,0.132936558,0.526381841,0.012653433,0.014164306,0.272332389,0.237157696,0.132860403,"{0.5: 0.0005544803979276384, 1.0: 0.0009470522476758581, 1.5: 0.0003452610239787771, 2.0: 0.0021294929297763386, 2.5: 0.0021044658860639455, 3.0: 0.010861381892725206, 3.5: 0.012883491792011583, 4.0: 0.03341258200755155, 4.5: 0.017171292812299302, 5.0: 0.03233906705870562}"
Item-Based CF,30,5,3,706,threshold,3.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",70.9823701,0.100541601,0.812519473,0.998864061,0.286405289,0.45316443,0.079700023,0.04815864,0.194617564,0.194617564,0.092899748,"{0.5: 0.0003856947163489583, 1.0: 0.0009732292429218925, 1.5: 0.0003912251030276003, 2.0: 0.0029091454955133033, 2.5: 0.002206273791713735, 3.0: 0.01215101623092358, 3.5: 0.009861617045043751, 4.0: 0.026953252426987335, 4.5: 0.011916235551362502, 5.0: 0.02024779987254706}"
User-Based CF,30,5,3,705,threshold,3.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",964.2309207,1.367703434,0.844152025,0.966373998,0.232052441,0.535481909,0.008335691,0.002836879,0.158817967,0.158817967,0.072622537,"{0.5: 0.0006461042686449777, 1.0: 0.0009925106740050478, 1.5: 0.00028843095586377697, 2.0: 0.0018177756878356376, 2.5: 0.0016142784684195107, 3.0: 0.007500590282572843, 3.5: 0.008206238501308366, 4.0: 0.017616907128184603, 4.5: 0.009071166586265013, 5.0: 0.01490617636222557}"
Item-Based KNN,30,5,3,706,threshold,3.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",3649.924737,5.169865066,0.790794051,0.973911532,0.128794531,0.262057765,0.004673614,0.036827195,0.167610954,0.167610954,0.088105131,"{0.5: 0.0006068826379689927, 1.0: 0.0006316077683634436, 1.5: 0.0003872754427994746, 2.0: 0.002242109146178815, 2.5: 0.0014210345999355492, 3.0: 0.008747539395496285, 3.5: 0.00986207210203657, 4.0: 0.023037525508747356, 4.5: 0.010921255473804592, 5.0: 0.01981072934574752}"
User-Based KNN,30,5,3,706,threshold,3.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",486.9575664,0.689741595,1.119139904,1.232223908,0.132999703,0.527896514,0.013138381,0.014164306,0.269593957,0.198489141,0.132071923,"{0.5: 0.0005382596602073585, 1.0: 0.0009180654693565111, 1.5: 0.00031279087053516085, 2.0: 0.0020688387299451854, 2.5: 0.0019359438081556408, 3.0: 0.010490186884020303, 3.5: 0.012334245511489988, 4.0: 0.032951623759699684, 4.5: 0.01723609229872678, 5.0: 0.03255078853345331}"
Item-Based CF,30,5,3,705,threshold,4,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",49.6242581,0.070389019,0.970928606,1.168821588,0.2139116,0.522436632,0.086547108,0.045390071,0.184349882,0.184349882,0.089325453,"{0.5: 0.0004129884202227711, 1.0: 0.0006842100304142137, 1.5: 0.00048433541139169145, 2.0: 0.0024318663224285456, 2.5: 0.0018035107976452122, 3.0: 0.010535630537745522, 3.5: 0.007925571607617459, 4.0: 0.02469036854919394, 4.5: 0.012198139559002742, 5.0: 0.021444445865945724}"
User-Based CF,30,5,3,520,threshold,4,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",936.2690615,1.800517426,1.043379238,1.216753766,0.230566262,0.539726769,0.00850728,0,0.182371795,0.181987179,0.083287393,"{0.5: 0.0011390188619404282, 1.0: 0.0007625717294904498, 1.5: 0.0004743297601300184, 2.0: 0.0018901456289043739, 2.5: 0.002619593949801955, 3.0: 0.007925041338672636, 3.5: 0.011841486857680435, 4.0: 0.018899820530171137, 4.5: 0.011504302467114666, 5.0: 0.012546879674586326}"
Item-Based KNN,30,5,3,705,threshold,4,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",2248.448775,3.189289043,0.935143391,1.144615509,0.096507947,0.259375193,0.006052509,0.035460993,0.173333333,0.173333333,0.090689519,"{0.5: 0.0005898173569160159, 1.0: 0.0006421567912307234, 1.5: 0.0003379785140931806, 2.0: 0.0021712606490061513, 2.5: 0.0013406311780544595, 3.0: 0.008533001706473059, 3.5: 0.010075713935203944, 4.0: 0.023939094224627276, 4.5: 0.012007783780324497, 5.0: 0.020911191512355577}"
User-Based KNN,30,5,3,705,threshold,4,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",485.6917335,0.688924445,1.580481118,1.683192079,0.13920409,0.537158301,0.014712702,0.011347518,0.261513002,0.078014184,0.127408983,"{0.5: 0.0005105288003460116, 1.0: 0.0009187157616321011, 1.5: 0.00036039678161624126, 2.0: 0.0019448700817932905, 2.5: 0.0018148319654545798, 3.0: 0.009772084025006966, 3.5: 0.011337006498765689, 4.0: 0.031104199862422955, 4.5: 0.01764264522171058, 5.0: 0.03236263384291645}"
Item-Based CF,30,5,3,684,threshold,4.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",38.1114152,0.055718443,0.964172341,1.140215098,0.153347814,0.592001713,0.099611139,0.040935673,0.160964912,0.160964912,0.07779321,"{0.5: 0.00016046746537441294, 1.0: 0.0007263575636616517, 1.5: 0.00029764513134888985, 2.0: 0.0017898521846945392, 2.5: 0.0017070641906595312, 3.0: 0.009057256698712757, 3.5: 0.006077322969728191, 4.0: 0.021609118173767296, 4.5: 0.01064556939990496, 5.0: 0.01898370662702732}"
User-Based CF,30,5,3,0,threshold,4.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",842.7257116,0,0,0,0,0,0,0,0,0,0,{}
Item-Based KNN,30,5,3,684,threshold,4.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",1630.003587,2.38304618,0.938076831,1.07995098,0.069132971,0.271741306,0.010515873,0.036549708,0.112231969,0.112231969,0.046976933,"{0.5: 0.00024342946829899139, 1.0: 0.00034719249264035247, 1.5: 0.0002961503675653924, 2.0: 0.0008827454700646455, 2.5: 0.0009290786164914251, 3.0: 0.005578177787379439, 3.5: 0.005458705537773316, 4.0: 0.015898130834410794, 4.5: 0.00854813071831917, 5.0: 0.012465092677881661}"
User-Based KNN,30,5,3,684,threshold,4.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",467.9653492,0.684159867,1.701979342,1.796110132,0.141464216,0.572744414,0.021639567,0.016081871,0.1958577,0.060331384,0.093943307,"{0.5: 0.0001466921108234313, 1.0: 0.0006119125725619537, 1.5: 0.0002947008568031429, 2.0: 0.001134778109581352, 2.5: 0.0013540143112656554, 3.0: 0.00765390138694056, 3.5: 0.006481995836877693, 4.0: 0.023234851974487946, 4.5: 0.011866409262377869, 5.0: 0.023664283428435205}"
Item-Based CF,30,5,3,0,threshold,5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",11.7554371,0,0,0,0,0,0,0,0,0,0,{}
User-Based CF,30,5,3,0,threshold,5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",11.4742511,0,0,0,0,0,0,0,0,0,0,{}
Item-Based KNN,30,5,3,0,threshold,5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",11.6601161,0,0,0,0,0,0,0,0,0,0,{}
User-Based KNN,30,5,3,0,threshold,5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",11.4841285,0,0,0,0,0,0,0,0,0,0,{}
Item-Based CF,30,5,3,706,sample,10,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",31.5523464,0.044691709,0.97278211,1.097749754,0.067055848,0.395589396,0.068253995,0.041076487,0.10184136,0.10184136,0.047913126,"{0.5: 0.00013623716825530608, 1.0: 0.00034966047968579175, 1.5: 0.00022170644233501528, 2.0: 0.0013883328634916423, 2.5: 0.0011071279857868732, 3.0: 0.006260360342164472, 3.5: 0.005212383743066734, 4.0: 0.014337616557811548, 4.5: 0.00635105601980833, 5.0: 0.009101159054733183}"
Item-Based CF,30,5,3,706,sample,20,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",53.1543412,0.075289435,0.933056005,1.088647599,0.113981654,0.376500542,0.070958807,0.049575071,0.126770538,0.126770538,0.057719547,"{0.5: 0.0001225089674250961, 1.0: 0.0004261938258053541, 1.5: 0.00030263129730916344, 2.0: 0.0016737736363282866, 2.5: 0.0012296270529316997, 3.0: 0.006938669484727418, 3.5: 0.006078236194049241, 4.0: 0.018152101402942933, 4.5: 0.008652273792407314, 5.0: 0.012477625927160245}"
Item-Based CF,30,5,3,706,sample,30,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",82.0618594,0.116234928,0.890127824,1.055357083,0.151445164,0.357462614,0.07015985,0.049575071,0.139423985,0.139423985,0.063485206,"{0.5: 0.00016303702684269673, 1.0: 0.0003862198376723998, 1.5: 0.00033038130161041804, 2.0: 0.0017045585813057161, 2.5: 0.0014187180130680363, 3.0: 0.007704182734450496, 3.5: 0.0064322883529876855, 4.0: 0.01985267851178277, 4.5: 0.009463275996771001, 5.0: 0.014145675790707713}"
Item-Based CF,30,5,3,706,sample,40,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",117.0800869,0.165835817,0.870850453,1.036379161,0.183435991,0.343829868,0.070689685,0.04815864,0.148961284,0.148961284,0.068316808,"{0.5: 7.898178547511687e-05, 1.0: 0.0003859720387427998, 1.5: 0.0003248008708014782, 2.0: 0.0016494915836741757, 2.5: 0.0014255541856505087, 3.0: 0.007922552035894885, 3.5: 0.007065890219500354, 4.0: 0.02193961279152111, 4.5: 0.010142454105466223, 5.0: 0.015394316184381961}"
Item-Based CF,30,5,3,706,sample,50,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",158.3245659,0.224255759,0.861964062,1.026095375,0.210648186,0.331579523,0.071910756,0.050991501,0.158168083,0.158168083,0.072151401,"{0.5: 7.898178547511687e-05, 1.0: 0.00034380406830990246, 1.5: 0.00044006465846063936, 2.0: 0.0019134710924125302, 2.5: 0.0018035228854985249, 3.0: 0.008417982658610728, 3.5: 0.007553763594517925, 4.0: 0.023579409517038078, 4.5: 0.010951774389651964, 5.0: 0.016015252659709642}"
Item-Based CF,30,5,3,706,sample,60,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",205.4503812,0.291006206,0.859123653,1.025261504,0.233971671,0.325035097,0.073436467,0.052407932,0.16421152,0.16421152,0.076344822,"{0.5: 0.00013993030969273887, 1.0: 0.000360519514052736, 1.5: 0.0004967516099451424, 2.0: 0.0020156442029071442, 2.5: 0.002072671027146241, 3.0: 0.009055138942090294, 3.5: 0.008182054033199071, 4.0: 0.02444023011459623, 4.5: 0.011094814222660178, 5.0: 0.01566053796505449}"
Item-Based CF,30,5,3,706,sample,70,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",264.392886,0.374494173,0.834987056,1.005402394,0.254704573,0.322223254,0.074980746,0.050991501,0.168649669,0.168649669,0.078238118,"{0.5: 0.00015447441200142488, 1.0: 0.0004356942780355362, 1.5: 0.00036706480521809875, 2.0: 0.001871256199703407, 2.5: 0.002204703765165733, 3.0: 0.009730492407670918, 3.5: 0.008926856316743946, 4.0: 0.02509542688107406, 4.5: 0.011166484641896098, 5.0: 0.01579760523840231}"
Item-Based CF,30,5,3,706,sample,80,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",330.2545861,0.4677827,0.81414405,0.981795357,0.2734569,0.316577079,0.076256473,0.055240793,0.174598678,0.174598678,0.080928549,"{0.5: 0.00011557337017698466, 1.0: 0.0004782908860609626, 1.5: 0.0003800020048351922, 2.0: 0.0021634558825076857, 2.5: 0.0019097094727777316, 3.0: 0.010502099647165565, 3.5: 0.009384233811098893, 4.0: 0.02627550968358262, 4.5: 0.011545788952026148, 5.0: 0.0157209756843386}"
Item-Based CF,30,5,3,706,sample,90,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",397.3249884,0.56278327,0.790637789,0.955264865,0.290062323,0.312885612,0.077169212,0.053824363,0.178611898,0.178611898,0.082869846,"{0.5: 0.00011557337017698466, 1.0: 0.0004766035041429449, 1.5: 0.00040603684040531795, 2.0: 0.002240708847621672, 2.5: 0.0019345267883286621, 3.0: 0.01085889604747836, 3.5: 0.009702457909349609, 4.0: 0.026861131889747134, 4.5: 0.011806136875855529, 5.0: 0.015900879862099076}"
